2025-12-03 18:21:35,593 INFO Starting network monitor
2025-12-03 18:21:35,593 INFO Logging to logs/monitor.log
2025-12-03 18:21:35,593 INFO Database at data/monitor.db
2025-12-03 18:21:35,593 INFO Speedtests enabled every 1800 seconds
2025-12-03 18:21:35,624 INFO Starting network monitor loop
2025-12-03 19:02:35,735 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=17.7 ms
2025-12-03 19:03:05,707 INFO internet-google (eth0) reachable: 8.8.8.8, latency=19.6 ms
2025-12-03 19:03:05,734 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=17.1 ms
2025-12-03 19:03:35,700 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.9 ms
2025-12-03 19:03:35,731 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.8 ms
2025-12-03 19:04:05,706 INFO internet-google (eth0) reachable: 8.8.8.8, latency=20.2 ms
2025-12-03 19:04:05,739 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.6 ms
2025-12-03 19:04:35,704 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.7 ms
2025-12-03 19:04:35,737 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=19.4 ms
2025-12-03 19:05:05,704 INFO internet-google (eth0) reachable: 8.8.8.8, latency=20.5 ms
2025-12-03 19:05:05,730 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.3 ms
2025-12-03 19:05:35,704 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.2 ms
2025-12-03 19:05:35,733 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.7 ms
2025-12-03 19:06:05,701 INFO internet-google (eth0) reachable: 8.8.8.8, latency=17.4 ms
2025-12-03 19:06:05,731 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=19.9 ms
2025-12-03 19:06:35,707 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.4 ms
2025-12-03 19:06:35,742 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=19.3 ms
2025-12-03 19:07:05,714 INFO internet-google (eth0) reachable: 8.8.8.8, latency=20.1 ms
2025-12-03 19:07:05,745 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.2 ms
2025-12-03 19:07:35,714 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.4 ms
2025-12-03 19:07:35,746 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.1 ms
2025-12-03 19:08:05,709 INFO internet-google (eth0) reachable: 8.8.8.8, latency=19.1 ms
2025-12-03 19:08:05,743 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.4 ms
2025-12-03 19:08:35,708 INFO internet-google (eth0) reachable: 8.8.8.8, latency=19.1 ms
2025-12-03 19:08:35,739 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.6 ms
2025-12-03 19:09:05,710 INFO internet-google (eth0) reachable: 8.8.8.8, latency=19.3 ms
2025-12-03 19:09:05,742 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=19.4 ms
